condition_a,condition_b,lambda_a,lambda_b,regression_slope,huber_regression_slope,ransac_regression_slope,est_slope,lambda_ratio
fructose,fumarate,0.65,0.42,0.761771820349797,0.7337657800081688,0.848524151390182,0.8190249410934514,0.6461538461538461
fructose,galactose,0.65,0.26,0.6120772441657375,0.5653189955114502,0.6056749307931434,0.7180521547077952,0.4
fructose,glucosamine,0.65,0.46,0.8001492790320527,0.784260028248421,0.8869607215722549,0.8889793900349087,0.7076923076923077
fructose,glucose,0.65,0.58,0.9875638391862486,0.9570955866062707,0.912154031606719,0.9292589731278079,0.8923076923076922
fructose,glycerol,0.65,0.47,0.8267144471553486,0.8106909953470489,0.8502745337909602,0.8691536728364634,0.7230769230769231
fructose,mannose,0.65,0.47,0.8090974873861634,0.7696695848734665,0.6374997142857429,0.8655993240213729,0.7230769230769231
fructose,pyruvate,0.65,0.4,0.7457416934573318,0.6948984792502486,0.8246227614242044,0.780393738743043,0.6153846153846154
fructose,succinate,0.65,0.44,0.8020987449593769,0.7507083589333661,0.7851415933382493,0.8239316450765237,0.6769230769230768
fructose,xylose,0.65,0.55,0.9283604652596045,0.9030984488404715,0.9888139929006827,0.9394101721409454,0.8461538461538461
fumarate,fructose,0.42,0.65,1.104824187564352,1.2291451218165483,1.1493933152886255,1.2209640388544643,1.5476190476190477
fumarate,galactose,0.42,0.26,0.8800411307413815,0.7529518429010393,0.7309638020300094,0.8767158589201802,0.6190476190476191
fumarate,glucosamine,0.42,0.46,0.9896567773051639,1.0758539982120663,1.063786143222303,1.0854118665154002,1.0952380952380953
fumarate,glucose,0.42,0.58,1.1011193455417143,1.2433224804832164,1.1429465339097062,1.1345917889718804,1.380952380952381
fumarate,glycerol,0.42,0.47,0.9950104659030332,1.0637911676095206,1.1734527120391474,1.0612053787716,1.119047619047619
fumarate,mannose,0.42,0.47,1.0413287723169296,1.0169162013235784,0.9960577158857726,1.0568656466868294,1.119047619047619
fumarate,pyruvate,0.42,0.4,0.8997663482649879,0.921015680964085,0.9812097290921433,0.9528326911524413,0.9523809523809524
fumarate,succinate,0.42,0.44,1.0171927235657285,1.0232868947374167,0.9509662229059545,1.0059909091126353,1.0476190476190477
fumarate,xylose,0.42,0.55,1.0401571772262836,1.1673534012888946,1.232577151870676,1.1469860379181762,1.3095238095238098
galactose,fructose,0.26,0.65,1.0207824320638366,1.472464467908996,1.5305434206604913,1.3926564991744101,2.5
galactose,fumarate,0.26,0.42,1.0119560553063915,1.178496251922098,1.1806671022429815,1.1406204071997335,1.6153846153846152
galactose,glucosamine,0.26,0.46,0.9709879455525365,1.2566632060058711,1.3450022578838108,1.2380429251642184,1.7692307692307692
galactose,glucose,0.26,0.58,1.0088823522924455,1.438025337118261,1.4511331096392541,1.2941385483425802,2.2307692307692304
galactose,glycerol,0.26,0.47,0.9592676747300902,1.314266796258102,1.343987606565706,1.2104325112570098,1.8076923076923075
galactose,mannose,0.26,0.47,1.0592328053657816,1.2562264804083985,1.29584385119129,1.205482524279341,1.8076923076923075
galactose,pyruvate,0.26,0.4,0.8517940826484237,1.1527876633475245,1.1799744401451517,1.0868204121755154,1.5384615384615385
galactose,succinate,0.26,0.44,1.0145987806927919,1.2469218679382024,1.1695479508828899,1.1474537603912842,1.6923076923076923
galactose,xylose,0.26,0.55,0.9634968670303112,1.4622505563956756,1.4455516766004475,1.308275681622639,2.1153846153846154
glucosamine,fructose,0.46,0.65,1.1103881991980495,1.1808405287637074,1.2095612342387725,1.1248854711476852,1.4130434782608696
glucosamine,fumarate,0.46,0.42,0.9469349630592466,0.89840052404676,0.9037936855783898,0.9213092567436121,0.9130434782608695
glucosamine,galactose,0.46,0.26,0.8079615695085782,0.7014093997507038,0.7882222694097666,0.8077264363570886,0.5652173913043478
glucosamine,glucose,0.46,0.58,1.1191556789136414,1.1574474746079417,1.1655551981918018,1.0453099178050882,1.2608695652173911
glucosamine,glycerol,0.46,0.47,0.9818447982004992,1.000263856939814,0.9653669312187758,0.9776983387683862,1.0217391304347825
glucosamine,mannose,0.46,0.47,0.9902975927238999,0.9256037307030841,0.8984938453966117,0.9737001034268997,1.0217391304347825
glucosamine,pyruvate,0.46,0.4,0.8783732796666637,0.8323198211477904,0.828528753420442,0.8778535784866713,0.8695652173913043
glucosamine,succinate,0.46,0.44,0.9737979289081115,0.9260516895202604,0.928697447745644,0.9268287367653927,0.9565217391304347
glucosamine,xylose,0.46,0.55,1.0657471210283627,1.1034856749507433,1.080098261064229,1.0567288540896953,1.1956521739130435
glucose,fructose,0.58,0.65,0.9760104254114473,0.9841547623835084,1.0858536416300988,1.0761262779460539,1.120689655172414
glucose,fumarate,0.58,0.42,0.7503353364612949,0.7203915867033786,0.7682187752656559,0.8813742614038818,0.7241379310344828
glucose,galactose,0.58,0.26,0.5978646134653712,0.5409442536408751,0.5480200539985608,0.7727147926168436,0.4482758620689656
glucose,glucosamine,0.58,0.46,0.7970323717187658,0.7804790910500324,0.7422596913827999,0.9566540821690196,0.7931034482758622
glucose,glycerol,0.58,0.47,0.8217045857653961,0.8185575227558693,0.8207248296631121,0.9353191069126456,0.810344827586207
glucose,mannose,0.58,0.47,0.7930605380407296,0.7417220750707167,0.7013252018936693,0.9314941787517401,0.810344827586207
glucose,pyruvate,0.58,0.4,0.7322351057223706,0.6812249675834258,0.7828973645748645,0.839802209405956,0.6896551724137931
glucose,succinate,0.58,0.44,0.7883192520455458,0.7532703608491416,0.7162273620017344,0.8866544944981685,0.7586206896551725
glucose,xylose,0.58,0.55,0.9236302658344188,0.9218335812426767,0.8317806920348295,1.0109239720106973,0.9482758620689656
glycerol,fructose,0.47,0.65,1.1334447797009766,1.1773572211812382,1.1049410903626231,1.1505445253847026,1.3829787234042554
glycerol,fumarate,0.47,0.42,0.94059836137041,0.8917808390782831,0.918121142625502,0.942324662128599,0.8936170212765958
glycerol,galactose,0.47,0.26,0.7886016761317708,0.686406758849543,0.6650433125904118,0.8261509755397433,0.5531914893617021
glycerol,glucosamine,0.47,0.46,0.9700270914484029,0.9569792726531826,0.9860295692728923,1.0228103703844966,0.9787234042553192
glycerol,glucose,0.47,0.58,1.1399118614866695,1.1510976614505484,1.1089150906751548,1.06915382419681,1.2340425531914894
glycerol,mannose,0.47,0.47,0.9908482025468424,0.9334327589955475,0.8936314250348656,0.9959105634294899,1.0
glycerol,pyruvate,0.47,0.4,0.8918660809103363,0.8331038313759798,0.7804147758916238,0.897877743755308,0.8510638297872342
glycerol,succinate,0.47,0.44,0.9761428512583908,0.9074335880243373,0.8625164515683382,0.9479700435340063,0.9361702127659575
glycerol,xylose,0.47,0.55,1.0724345859335729,1.1126692601126522,1.1072044050444019,1.080833230647466,1.170212765957447
mannose,fructose,0.47,0.65,1.0603761064500785,1.2293555166154724,1.24222657282578,1.1552689243728067,1.3829787234042554
mannose,fumarate,0.47,0.42,0.9409762855920812,0.9641224582875368,0.9660544904540285,0.946194062731533,0.8936170212765958
mannose,galactose,0.47,0.26,0.8323836670247632,0.7321486738444736,0.6334256795681121,0.8295433404128507,0.5531914893617021
mannose,glucosamine,0.47,0.46,0.9352355023639577,1.016843376891566,1.0552893561737018,1.0270102637152227,0.9787234042553192
mannose,glucose,0.47,0.58,1.0516619078754987,1.1572878390688277,1.347368705807295,1.0735440143491417,1.2340425531914894
mannose,glycerol,0.47,0.47,0.9471556780539042,1.0305463550717677,1.0656310528096895,1.0041062287324556,1.0
mannose,pyruvate,0.47,0.4,0.8704312939252624,0.9057662899361765,0.933161510182557,0.9015646351449483,0.8510638297872342
mannose,succinate,0.47,0.44,0.9644359371590524,0.9786032724296764,0.9566966879716282,0.9518626253642727,0.9361702127659575
mannose,xylose,0.47,0.55,0.9966500829308509,1.14804470659933,1.1833358864298291,1.0852713791141433,1.170212765957447
pyruvate,fructose,0.4,0.65,1.169870393504893,1.2937349482904978,1.1142425263308153,1.281404437727384,1.625
pyruvate,fumarate,0.4,0.42,0.9732194984390452,1.0189514315948862,0.960148633105253,1.0495021941265579,1.0499999999999998
pyruvate,galactose,0.4,0.26,0.8012296103952354,0.7630121032727475,0.7080632747759974,0.9201152175622789,0.65
pyruvate,glucosamine,0.4,0.46,0.9929436943770388,1.0948973542521054,1.0182760223314327,1.139142135438915,1.15
pyruvate,glucose,0.4,0.58,1.1622795452185832,1.2473344338978565,1.3123152620402458,1.190756571963965,1.4499999999999997
pyruvate,glycerol,0.4,0.47,1.0204791445267472,1.1078605790504266,1.0780718820369803,1.1137373734396991,1.1749999999999998
pyruvate,mannose,0.4,0.47,1.0418968892791092,1.0513642277997624,0.9362060409189996,1.109182815094811,1.1749999999999998
pyruvate,succinate,0.4,0.44,1.0098400638524077,1.0515044287361828,0.9143676758220396,1.0557896663850814,1.0999999999999999
pyruvate,xylose,0.4,0.55,1.1090074232903964,1.1894635253039842,1.1820062071934583,1.2037643634276531,1.375
succinate,fructose,0.44,0.65,1.1072475812834872,1.232799942999438,1.3179277284168556,1.2136929149105855,1.4772727272727273
succinate,fumarate,0.44,0.42,0.9681705717899666,0.966979830558205,1.004980932569688,0.9940447681401815,0.9545454545454545
succinate,galactose,0.44,0.26,0.8398162736664165,0.7247994769132419,0.8507955898194904,0.8714948127051306,0.5909090909090909
succinate,glucosamine,0.44,0.46,0.9686835633002624,1.0088621094725292,1.0413396890039426,1.0789479871869025,1.0454545454545454
succinate,glucose,0.44,0.58,1.1011075969555526,1.2108286720660721,1.2707397358614525,1.1278350318023067,1.3181818181818181
succinate,glycerol,0.44,0.47,0.9828459267314333,1.0277368211291706,1.0449982600186702,1.0548856546901286,1.0681818181818181
succinate,mannose,0.44,0.47,1.015853795620519,0.9852259819015682,1.0249961410552466,1.0505717667161323,1.0681818181818181
succinate,pyruvate,0.44,0.4,0.8886283706168538,0.8846343361355086,0.9189075393896798,0.9471583515530136,0.9090909090909092
succinate,xylose,0.44,0.55,1.0424808902114908,1.1498146818338248,1.0499424517844214,1.1401554701223988,1.25
xylose,fructose,0.55,0.65,1.0384021203415656,1.0727135517785777,0.9976106394436732,1.064497734489045,1.1818181818181817
xylose,fumarate,0.55,0.42,0.8021944046076701,0.7489189569518241,0.7801822514693285,0.8718501942840023,0.7636363636363636
xylose,galactose,0.55,0.26,0.646207928248212,0.5910845324751398,0.5602413723442812,0.7643648919314251,0.4727272727272727
xylose,glucosamine,0.55,0.46,0.8590120924852904,0.8471415655550455,0.8179437650596404,0.9463165466996133,0.8363636363636363
xylose,glucose,0.55,0.58,1.0453405728285468,1.0164538641886185,1.051848013884177,0.9891940716481677,1.0545454545454545
xylose,glycerol,0.55,0.47,0.8749332087561722,0.866630675219166,0.8667330849233885,0.9252121156572478,0.8545454545454544
xylose,mannose,0.55,0.47,0.8506140566786732,0.7959622363910536,0.8350488104799744,0.921428519396,0.8545454545454544
xylose,pyruvate,0.55,0.4,0.7907406335376794,0.7022966164112889,0.7466957077922832,0.8307273669014048,0.7272727272727273
xylose,succinate,0.55,0.44,0.8446953976423046,0.7995263988552087,0.77141039631801,0.8770733695577912,0.7999999999999999
